Cash Transaction Listing - Detail

"Start date","12/09/2022"
"End date","30/06/2025"
"Client name","Gambit Capital Pty Ltd"
"Client number","301567"
"Account number","WRAP075815"
"Product name","netwealth Wealth Accelerator"
"Asset holding options","All assets"
"Cash transaction listing options","Integrated Listing (including Managed Account transactions)"

Cash position at 30 June 2025
"Description","$"
"Cash Account - Available Cash","2008.47"
"Cash Account - Minimum Cash","511.35"
"Cash Account - Pending","0"
"Cash Balance","2519.82"

Transactions by type
"Description","Amount"
"Opening Cash Balance","0.0"
"Administration Fees","-1848.24"
"Asset Purchase","-298176.32"
"Asset Sale","310550.41"
"Brokerage Fee","-63.24"
"Cash Account Interest","1063.75"
"Distribution","11304.90"
"Family Fee Rebate - Administration Fees","328.70"
"Investment","299245.85"
"Withdrawal","-319885.99"
"Closing Cash Balance","2519.82"

Cash transactions
"Effective Date","Description","EFTReference","Narration","Employer","Asset","Code","Units","Debits","Credits","Cash balance","Purchase price","Sale price","TransactionListing Summary Group","Processed Date"
"30/09/2022","Administration Fees","","","","","","0.000000","27.97","0","1972.88","0","0","Administration costs","04/10/2022"
"29/09/2022","Asset Purchase","","","","Vanguard High Growth Index Fund","VAN0111AU","3505.669806","5472.00","0","2000.85","1.56","0","Asset Purchases","30/09/2022"
"26/09/2022","Investment","","","","","","0.000000","0","5472.85","7472.85","0","0","Contributions & deposits (inc Transfer-ins)","27/09/2022"
"16/09/2022","Asset Purchase","","","","Term Deposit BOQ - 6 Mth 3.30% (16/03/2023)","BOQ0323K","83773.000000","83773.00","0","2000.00","1","0","Asset Purchases","19/09/2022"
"14/09/2022","Asset Purchase","","","","Vanguard High Growth Index Fund","VAN0111AU","41506.439602","68000.00","0","85773.00","1.64","0","Asset Purchases","15/09/2022"
"12/09/2022","Investment","","","","","","0.000000","0","153773.00","153773.00","0","0","Contributions & deposits (inc Transfer-ins)","13/09/2022"
"12/09/2022","Opening Cash Balance","","","","","","0","0","0","0.0","0","0","",""

"* The Integrated Cash Transaction Listing above includes all cash transactions for the period, including cash transactions in your Managed Account. Separate cash transaction listings are available to exclude the impact of Managed Account transactions or for Managed Account transactions only. These listings can be generated via Transactions History and Reports & Statements."

"Important information"
"This report has been prepared using an estimate of your cash balance based on the most recent information available to Netwealth for the reporting period selected. The amounts shown are reflective of transactions over the period, but do not represent a guarantee in the value of your cash or your superannuation benefit. This is because the amounts may not take into account all income entitled to be received, and/or any fees, costs, taxes or other amounts liable to be paid. If you request to make a withdrawal, or are eligible to request a benefit payment, the actual amount available will be determined at the time any such payment is made. The effect of displaying figures to 2 decimal places may lead to some rounding errors. You should refer to the PDF version of this report for further explanation about the data."

"Inception date used in the report is the earlier of the date on which the first amount of money was contributed into your Wealth Accelerator account, or the earliest acquisition date we have recorded for adviser managed assets."

"This document has been prepared by Netwealth Investments Limited (ABN 85 090 569 109, AFSL 230975) (NIL) in its capacity as the operator of the Netwealth Investment Wrap Service and Russell Investments Wealth Series; and as administrator of the Netwealth Superannuation Master Fund and Wealth Accelerator Multi-asset Portfolio Service. Netwealth Superannuation Services Pty Ltd (ABN 80 636 951 310, AFSL 528032) (NSS) is the trustee of the Netwealth Superannuation Master Fund (ABN 94 573 747 704)."

"Whilst reasonable care has been taken to prepare this document using sources believed to be reliable and accurate, to the maximum extent permitted by law, Netwealth Group Limited (ABN 84 620 145 404) and its related parties (including NIL and NSS), employees and directors (Netwealth) are not responsible for and will not accept liability in connection with any loss or damage suffered by any person arising from reliance on this information."

"This document is only for access and use by the named or intended recipients and their authorised agents. Unauthorised use, modification, disclosure or distribution to any other party without Netwealth's express prior written consent is prohibited."

"Where this document contains assets of other investment related information for a stated period, it is important to remember that past performance is not a reliable indicator of future performance. Where this document contains any taxation related information, that information is based on present taxation laws which are subject to change. Netwealth or its related entities are not registered tax (financial) adviser under the Tax Agent Services Act 2009 and if you intend to rely on the information to satisfy liabilities or obligations or claim entitlements that arise, or could arise, under a taxation law, you should request advice from a registered tax agent or a registered tax (financial) adviser."

"If this document contains information regarding adviser managed assets or other information sourced from a third party (such as prices or exchange rates), that information has been delivered using data furnished by you, your financial adviser or a third party. Information may not be current and actual values/data may differ. Netwealth is not responsible for ensuring the accuracy or completeness of that information and makes no representation regarding those matters. Any reliance on this information is at your sole risk and Netwealth or its related entities will not accept any liability for any resulting harm, loss or damage suffered by any person."

"The information in this document is of a general nature only and has been prepared without taking into account your individual objectives, financial situation or needs. You should obtain and consider the relevant disclosure documents issued by NIL and NSS (available at netwealth.com.au), any relevant terms and conditions, and seek financial or other professional advice as required to assess your personal circumstances before making decisions."

"Wrap Service clients: The Wrap Service auditor, for the purposes of preparing its annual report and inspecting Quarterly Report information, will only consider information that is displayed online at each quarter end."

